央视频道,#genre#
凤凰中文,http://s.cdhongyuan.cn:4022/udp/239.93.0.162:2192
凤凰中文,http://s.cdhongyuan.cn:4022/udp/239.93.1.9:2192
凤凰资讯,http://s.cdhongyuan.cn:4022/udp/239.93.0.118:2191
凤凰资讯,http://s.cdhongyuan.cn:4022/udp/239.93.1.4:2191
求索纪录,http://s.cdhongyuan.cn:4022/udp/239.93.42.24:5140
金鹰纪实,http://s.cdhongyuan.cn:4022/udp/239.93.0.130:5140
陕西农林,http://s.cdhongyuan.cn:4022/udp/239.93.0.100:5140
CCTV1,http://s.cdhongyuan.cn:4022/udp/239.93.0.184:5140
CCTV2,http://s.cdhongyuan.cn:4022/udp/239.93.1.23:6000
CCTV3,http://s.cdhongyuan.cn:4022/udp/239.93.1.11:2223
CCTV4,http://s.cdhongyuan.cn:4022/udp/239.93.1.105:5140
CCTV5,http://s.cdhongyuan.cn:4022/udp/239.93.42.37:5140
CCTV5+,http://s.cdhongyuan.cn:4022/udp/239.93.1.36:8004
CCTV6,http://s.cdhongyuan.cn:4022/udp/239.93.1.13:2226
CCTV6,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010214/
CCTV6,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010214/
CCTV6,http://1.180.2.93:9901/tsfile/live/1064_1.m3u8
CCTV7,http://s.cdhongyuan.cn:4022/udp/239.93.1.67:5140
CCTV8,http://s.cdhongyuan.cn:4022/udp/239.93.42.39:5140
CCTV9,http://s.cdhongyuan.cn:4022/udp/239.93.1.24:5140
CCTV10,http://s.cdhongyuan.cn:4022/udp/239.93.1.28:5140
CCTV11,http://s.cdhongyuan.cn:4022/udp/239.93.0.102:5140
CCTV12,http://s.cdhongyuan.cn:4022/udp/239.93.1.30:8124
CCTV13,http://s.cdhongyuan.cn:4022/udp/239.93.0.66:5140
CCTV14,http://s.cdhongyuan.cn:4022/udp/239.93.1.29:6000
CCTV15,http://s.cdhongyuan.cn:4022/udp/239.93.0.103:5140
CCTV17,http://s.cdhongyuan.cn:4022/udp/239.93.0.92:5140
卫视频道,#genre#
东方卫视,http://s.cdhongyuan.cn:4022/udp/239.93.0.123:5140
浙江卫视,http://s.cdhongyuan.cn:4022/udp/239.93.0.124:5140
湖南卫视,http://s.cdhongyuan.cn:4022/udp/239.93.0.88:5140
江苏卫视,http://s.cdhongyuan.cn:4022/udp/239.93.0.89:5140
安徽卫视,http://s.cdhongyuan.cn:4022/udp/239.93.1.106:5140
云南卫视,http://s.cdhongyuan.cn:4022/udp/239.93.1.174:5140
云南卫视,http://s.cdhongyuan.cn:4022/udp/239.93.0.174:5140
兵团卫视,http://s.cdhongyuan.cn:4022/udp/239.93.42.43:5140
内蒙古卫视,http://s.cdhongyuan.cn:4022/udp/239.93.0.8:5140
北京卫视,http://s.cdhongyuan.cn:4022/udp/239.93.0.180:5140
厦门卫视,http://s.cdhongyuan.cn:4022/udp/239.93.42.57:5140
吉林卫视,http://s.cdhongyuan.cn:4022/udp/239.93.0.248:5140
四川卫视,http://s.cdhongyuan.cn:4022/udp/239.93.0.20:1235
天津卫视,http://s.cdhongyuan.cn:4022/udp/239.93.0.167:5140
宁夏卫视,http://s.cdhongyuan.cn:4022/udp/239.93.0.247:5140
山东卫视,http://s.cdhongyuan.cn:4022/udp/239.93.0.168:5140
山东教育卫视,http://s.cdhongyuan.cn:4022/udp/239.93.1.196:5140
山西卫视,http://s.cdhongyuan.cn:4022/udp/239.93.0.6:5140
广东卫视,http://s.cdhongyuan.cn:4022/udp/239.93.0.181:5140
广西卫视,http://s.cdhongyuan.cn:4022/udp/239.93.42.46:5140
新疆卫视,http://s.cdhongyuan.cn:4022/udp/239.93.0.194:5140
江西卫视,http://s.cdhongyuan.cn:4022/udp/239.93.0.134:5140
河北卫视,http://s.cdhongyuan.cn:4022/udp/239.93.0.132:5140
河南卫视,http://s.cdhongyuan.cn:4022/udp/239.93.42.45:5140
海南卫视,http://s.cdhongyuan.cn:4022/udp/239.93.0.80:5140
深圳卫视,http://s.cdhongyuan.cn:4022/udp/239.93.0.182:5140
湖北卫视,http://s.cdhongyuan.cn:4022/udp/239.93.0.250:5140
甘肃卫视,http://s.cdhongyuan.cn:4022/udp/239.93.0.81:5140
西藏卫视,http://s.cdhongyuan.cn:4022/udp/239.93.0.175:5140
贵州卫视,http://s.cdhongyuan.cn:4022/udp/239.93.0.131:5140
辽宁卫视,http://s.cdhongyuan.cn:4022/udp/239.93.1.108:5140
重庆卫视,http://s.cdhongyuan.cn:4022/udp/239.93.1.107:5140
陕西卫视,http://s.cdhongyuan.cn:4022/udp/239.93.0.176:5140
青海卫视,http://s.cdhongyuan.cn:4022/udp/239.93.0.192:5140
黑龙江卫视,http://s.cdhongyuan.cn:4022/udp/239.93.0.183:5140
三沙卫视,http://s.cdhongyuan.cn:4022/udp/239.93.42.58:5140
上海纪实,http://s.cdhongyuan.cn:4022/udp/239.93.1.137:5140
经典电影,http://s.cdhongyuan.cn:4022/udp/239.93.0.57:9024
